fips,county,state,variable,estimate,variable_name
25017,Middlesex County,MA,death_rate,2.770583629464555,death_rate
25021,Norfolk County,MA,deaths,21,deaths
25021,Norfolk County,MA,births,7033,births
25021,Norfolk County,MA,death_rate,2.9859235034835776,death_rate
25023,Plymouth County,MA,deaths,20,deaths
25023,Plymouth County,MA,births,5028,births
25023,Plymouth County,MA,death_rate,3.977724741447892,death_rate
25025,Suffolk County,MA,deaths,38,deaths
25025,Suffolk County,MA,births,9072,births
25025,Suffolk County,MA,death_rate,4.188712522045855,death_rate
25027,Worcester County,MA,deaths,49,deaths
25027,Worcester County,MA,births,8335,births
25027,Worcester County,MA,death_rate,5.87882423515297,death_rate
26049,Genesee County,MI,deaths,26,deaths
26049,Genesee County,MI,births,4558,births
26049,Genesee County,MI,death_rate,5.7042562527424305,death_rate
26065,Ingham County,MI,deaths,19,deaths
26065,Ingham County,MI,births,3049,births
26065,Ingham County,MI,death_rate,6.231551328304362,death_rate
26077,Kalamazoo County,MI,deaths,16,deaths
26077,Kalamazoo County,MI,births,3074,births
26077,Kalamazoo County,MI,death_rate,5.20494469746259,death_rate
26081,Kent County,MI,deaths,40,deaths
26081,Kent County,MI,births,8648,births
26081,Kent County,MI,death_rate,4.6253469010175765,death_rate
26099,Macomb County,MI,deaths,47,deaths
26099,Macomb County,MI,births,9171,births
26099,Macomb County,MI,death_rate,5.124850070875586,death_rate
26125,Oakland County,MI,deaths,85,deaths
26125,Oakland County,MI,births,13182,births
26125,Oakland County,MI,death_rate,6.448186921559703,death_rate
26139,Ottawa County,MI,deaths,12,deaths
26139,Ottawa County,MI,births,3138,births
26139,Ottawa County,MI,death_rate,3.8240917782026767,death_rate
26161,Washtenaw County,MI,deaths,19,deaths
26161,Washtenaw County,MI,births,3527,births
26161,Washtenaw County,MI,death_rate,5.387014459880919,death_rate
26163,Wayne County,MI,deaths,214,deaths
26163,Wayne County,MI,births,22910,births
26163,Wayne County,MI,death_rate,9.34089917066783,death_rate
27003,Anoka County,MN,deaths,19,deaths
27003,Anoka County,MN,births,4241,births
27003,Anoka County,MN,death_rate,4.480075453902382,death_rate
27037,Dakota County,MN,deaths,22,deaths
27037,Dakota County,MN,births,5140,births
27037,Dakota County,MN,death_rate,4.280155642023347,death_rate
27053,Hennepin County,MN,deaths,73,deaths
27053,Hennepin County,MN,births,15845,births
27053,Hennepin County,MN,death_rate,4.607131587251499,death_rate
27123,Ramsey County,MN,deaths,51,deaths
27123,Ramsey County,MN,births,7517,births
27123,Ramsey County,MN,death_rate,6.784621524544367,death_rate
29077,Greene County,MO,deaths,17,deaths
29077,Greene County,MO,births,3309,births
29077,Greene County,MO,death_rate,5.137503777576307,death_rate
29095,Jackson County,MO,deaths,66,deaths
29095,Jackson County,MO,births,9065,births
29095,Jackson County,MO,death_rate,7.280750137892995,death_rate
29183,St. Charles County,MO,deaths,23,deaths
29183,St. Charles County,MO,births,4306,births
29183,St. Charles County,MO,death_rate,5.341384115188109,death_rate
29189,St. Louis County,MO,deaths,75,deaths
29189,St. Louis County,MO,births,11368,births
29189,St. Louis County,MO,death_rate,6.597466572836031,death_rate
29510,St. Louis city,MO,deaths,36,deaths
29510,St. Louis city,MO,births,4127,births
29510,St. Louis city,MO,death_rate,8.723043372910103,death_rate
31055,Douglas County,NE,deaths,53,deaths
31055,Douglas County,NE,births,8342,births
31055,Douglas County,NE,death_rate,6.353392471829297,death_rate
31109,Lancaster County,NE,deaths,28,deaths
31109,Lancaster County,NE,births,3893,births
31109,Lancaster County,NE,death_rate,7.192396609298741,death_rate
32003,Clark County,NV,deaths,161,deaths
32003,Clark County,NV,births,26773,births
32003,Clark County,NV,death_rate,6.013521084674859,death_rate
32031,Washoe County,NV,deaths,34,deaths
32031,Washoe County,NV,births,5399,births
32031,Washoe County,NV,death_rate,6.29746249305427,death_rate
33011,Hillsborough County,NH,deaths,18,deaths
33011,Hillsborough County,NH,births,4144,births
33011,Hillsborough County,NH,death_rate,4.343629343629344,death_rate
34001,Atlantic County,NJ,deaths,18,deaths
34001,Atlantic County,NJ,births,2797,births
